HolderFragment,AndroidX.Lifecycle.HolderFragment
BuildConfig,AndroidX.ConstraintLayout.Widget.BuildConfig
CustomTabsCallbackStub,AndroidX.Browser.CustomTabs.CustomTabsCallbackStub
CustomTabsServiceStub,AndroidX.Browser.CustomTabs.CustomTabsServiceStub
ICustomTabsCallback,AndroidX.Browser.CustomTabs.ICustomTabsCallback
ICustomTabsService,AndroidX.Browser.CustomTabs.ICustomTabsService
IPostMessageService,AndroidX.Browser.CustomTabs.IPostMessageService
PostMessageServiceStub,AndroidX.Browser.CustomTabs.PostMessageServiceStub
BottomNavigationItemView,Google.Android.Material.Internal.BottomNavigationItemView
BottomNavigationMenu,Google.Android.Material.Internal.BottomNavigationMenu
BottomNavigationMenuView,Google.Android.Material.Internal.BottomNavigationMenuView
BottomNavigationPresenter,Google.Android.Material.Internal.BottomNavigationPresenter
BaseTransientBottomBar,Google.Android.Material.AppBar.BaseTransientBottomBar
BottomNavigationView,Google.Android.Material.AppBar.BottomNavigationView
BottomSheetBehavior,Google.Android.Material.AppBar.BottomSheetBehavior
BottomSheetDialog,Google.Android.Material.AppBar.BottomSheetDialog
BottomSheetDialogFragment,Google.Android.Material.AppBar.BottomSheetDialogFragment
CheckableImageButton,Google.Android.Material.AppBar.CheckableImageButton
CircularBorderDrawable,Google.Android.Material.AppBar.CircularBorderDrawable
CollapsingTextHelper,Google.Android.Material.AppBar.CollapsingTextHelper
CoordinatorLayout,Google.Android.Material.AppBar.CoordinatorLayout
DescendantOffsetUtils,Google.Android.Material.AppBar.DescendantOffsetUtils
DrawableUtils,Google.Android.Material.AppBar.DrawableUtils
FloatingActionButton,Google.Android.Material.AppBar.FloatingActionButton
IShadowViewDelegate,Google.Android.Material.AppBar.IShadowViewDelegate
MathUtils,Google.Android.Material.AppBar.MathUtils
NavigationView,Google.Android.Material.AppBar.NavigationView
ShadowDrawableWrapper,Google.Android.Material.AppBar.ShadowDrawableWrapper
Snackbar,Google.Android.Material.AppBar.Snackbar
SnackbarContentLayout,Google.Android.Material.AppBar.SnackbarContentLayout
StateListAnimator,Google.Android.Material.AppBar.StateListAnimator
SwipeDismissBehavior,Google.Android.Material.AppBar.SwipeDismissBehavior
TabItem,Google.Android.Material.AppBar.TabItem
TabLayout,Google.Android.Material.AppBar.TabLayout
TextInputEditText,Google.Android.Material.AppBar.TextInputEditText
TextInputLayout,Google.Android.Material.AppBar.TextInputLayout
VisibilityAwareImageButton,Google.Android.Material.AppBar.VisibilityAwareImageButton
ContentResolverCompat,AndroidX.Loader.Content.ContentResolverCompat
ContextCompat,AndroidX.Loader.Content.ContextCompat
FileProvider,AndroidX.Loader.Content.FileProvider
IntentCompat,AndroidX.Loader.Content.IntentCompat
LocalBroadcastManager,AndroidX.Loader.Content.LocalBroadcastManager
MimeTypeFilter,AndroidX.Loader.Content.MimeTypeFilter
PermissionChecker,AndroidX.Loader.Content.PermissionChecker
MediaBrowserCompat,AndroidX.Media.MediaBrowserCompat
MediaDescriptionCompat,AndroidX.Media.MediaDescriptionCompat
MediaMetadataCompat,AndroidX.Media.MediaMetadataCompat
RatingCompat,AndroidX.Media.RatingCompat
IMediaControllerCallback,AndroidX.Media.Session.IMediaControllerCallback
IMediaControllerCallbackExtensions,AndroidX.Media.Session.IMediaControllerCallbackExtensions
IMediaSession,AndroidX.Media.Session.IMediaSession
MediaControllerCallbackStub,AndroidX.Media.Session.MediaControllerCallbackStub
MediaControllerCompat,AndroidX.Media.Session.MediaControllerCompat
MediaSessionCompat,AndroidX.Media.Session.MediaSessionCompat
MediaSessionCompatIMediaSessionImplExtensions,AndroidX.Media.Session.MediaSessionCompatIMediaSessionImplExtensions
MediaSessionStub,AndroidX.Media.Session.MediaSessionStub
ParcelableVolumeInfo,AndroidX.Media.Session.ParcelableVolumeInfo
PlaybackStateCompat,AndroidX.Media.Session.PlaybackStateCompat
IResultReceiver,AndroidX.Core.OS.IResultReceiver
