AnimationUtils                                ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
AnimatorSetCompat                             ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
ArgbEvaluatorCompat                           ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
ChildrenAlphaProperty                         ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
DrawableAlphaProperty                         ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
ImageMatrixProperty                           ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
MatrixEvaluator                               ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
MotionSpec                                    ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
MotionTiming                                  ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
Positioning                                   ,Android.Support.Design.Animation                          ,Xamarin.Google.Android.Material.Animation                          
AppBarLayout                                  ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.AppBar                             
CollapsingToolbarLayout                       ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.AppBar                             
HeaderBehavior                                ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.AppBar                             
ViewOffsetBehavior                            ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.AppBar                             
HideBottomViewOnScrollBehavior                ,Android.Support.Design.Behavior                           ,Xamarin.Google.Android.Material.Behavior                           
SwipeDismissBehavior                          ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Behavior                           
BottomAppBar                                  ,Android.Support.Design.BottomAppBar                       ,Xamarin.Google.Android.Material.BottomAppBar                       
BottomAppBarTopEdgeTreatment                  ,Android.Support.Design.BottomAppBar                       ,Xamarin.Google.Android.Material.BottomAppBar                       
BottomNavigationItemView                      ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.BottomNavigation                   
BottomNavigationMenu                          ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.BottomNavigation                   
BottomNavigationMenuView                      ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.BottomNavigation                   
BottomNavigationPresenter                     ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.BottomNavigation                   
BottomNavigationView                          ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.BottomNavigation                   
ILabelVisibilityMode                          ,Android.Support.Design.BottomNavigation                   ,Xamarin.Google.Android.Material.BottomNavigation                   
LabelVisibilityMode                           ,Android.Support.Design.BottomNavigation                   ,Xamarin.Google.Android.Material.BottomNavigation                   
LabelVisibilityModeAttribute                  ,Android.Support.Design.BottomNavigation                   ,Xamarin.Google.Android.Material.BottomNavigation                   
LabelVisibilityModeConsts                     ,Android.Support.Design.BottomNavigation                   ,Xamarin.Google.Android.Material.BottomNavigation                   
BottomSheetBehavior                           ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.BottomSheet                        
BottomSheetDialog                             ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.BottomSheet                        
BottomSheetDialogFragment                     ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.BottomSheet                        
MaterialButton                                ,Android.Support.Design.Button                             ,Xamarin.Google.Android.Material.Button                             
CanvasCompat                                  ,Android.Support.Design.Canvas                             ,Xamarin.Google.Android.Material.Canvas                             
MaterialCardView                              ,Android.Support.Design.Card                               ,Xamarin.Google.Android.Material.Card                               
Chip                                          ,Android.Support.Design.Chip                               ,Xamarin.Google.Android.Material.Chip                               
ChipDrawable                                  ,Android.Support.Design.Chip                               ,Xamarin.Google.Android.Material.Chip                               
ChipGroup                                     ,Android.Support.Design.Chip                               ,Xamarin.Google.Android.Material.Chip                               
CircularRevealCompat                          ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealFrameLayout                     ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealGridLayout                      ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealHelper                          ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealLinearLayout                    ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealRelativeLayout                  ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealWidgetCircularRevealEvaluator   ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealWidgetRevealInfo                ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
ICircularRevealWidget                         ,Android.Support.Design.CircularReveal                     ,Xamarin.Google.Android.Material.CircularReveal                     
CircularRevealCardView                        ,Android.Support.Design.CircularReveal.CardView            ,Xamarin.Google.Android.Material.CircularReveal.CardView            
CircularRevealCoordinatorLayout               ,Android.Support.Design.CircularReveal.CoordinatorLayout   ,Xamarin.Google.Android.Material.CircularReveal.CoordinatorLayout   
DrawableUtils                                 ,Android.Support.Design.Drawable                           ,Xamarin.Google.Android.Material.Drawable                           
DrawableUtils                                 ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Drawable                           
DrawableUtils                                 ,Android.Support.V7.Widget                                 ,Xamarin.Google.Android.Material.Drawable                           
ExpandableWidgetHelper                        ,Android.Support.Design.Expandable                         ,Xamarin.Google.Android.Material.Expandable                         
IExpandableTransformationWidget               ,Android.Support.Design.Expandable                         ,Xamarin.Google.Android.Material.Expandable                         
IExpandableWidget                             ,Android.Support.Design.Expandable                         ,Xamarin.Google.Android.Material.Expandable                         
FloatingActionButton                          ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.FloatingActionButton               
BaselineLayout                                ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
CheckableImageButton                          ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
CircularBorderDrawable                        ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
CollapsingTextHelper                          ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
DescendantOffsetUtils                         ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
DrawableUtils                                 ,Android.Support.Design.Drawable                           ,Xamarin.Google.Android.Material.Internal                           
DrawableUtils                                 ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
DrawableUtils                                 ,Android.Support.V7.Widget                                 ,Xamarin.Google.Android.Material.Internal                           
ExperimentalAttribute                         ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
FlowLayout                                    ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
ForegroundLinearLayout                        ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
IExperimental                                 ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
NavigationMenu                                ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
NavigationMenuItemView                        ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
NavigationMenuView                            ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
NavigationSubMenu                             ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
ParcelableSparseArray                         ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
ScrimInsetsFrameLayout                        ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
StateListAnimator                             ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
TextScale                                     ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
ThemeEnforcement                              ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
ViewUtils                                     ,Android.Support.Design.Internal                           ,Xamarin.Google.Android.Material.Internal                           
ViewUtils                                     ,Android.Support.V7.Widget                                 ,Xamarin.Google.Android.Material.Internal                           
VisibilityAwareImageButton                    ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Internal                           
MathUtils                                     ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Math                               
MathUtils                                     ,Android.Support.V4.Math                                   ,Xamarin.Google.Android.Material.Math                               
NavigationView                                ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Navigation                         
MaterialResources                             ,Android.Support.Design.Resources                          ,Xamarin.Google.Android.Material.Resources                          
TextAppearance                                ,Android.Support.Design.Resources                          ,Xamarin.Google.Android.Material.Resources                          
TextAppearanceConfig                          ,Android.Support.Design.Resources                          ,Xamarin.Google.Android.Material.Resources                          
RippleUtils                                   ,Android.Support.Design.Ripple                             ,Xamarin.Google.Android.Material.Ripple                             
IShadowViewDelegate                           ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Shadow                             
ShadowDrawableWrapper                         ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Shadow                             
CornerTreatment                               ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
CutCornerTreatment                            ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
EdgeTreatment                                 ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
InterpolateOnScrollPositionChangeHelper       ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
MaterialShapeDrawable                         ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
RoundedCornerTreatment                        ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
ShapePath                                     ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
ShapePathModel                                ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
TriangleEdgeTreatment                         ,Android.Support.Design.Shape                              ,Xamarin.Google.Android.Material.Shape                              
BaseTransientBottomBar                        ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Snackbar                           
IContentViewCallback                          ,Android.Support.Design.Snackbar                           ,Xamarin.Google.Android.Material.Snackbar                           
Snackbar                                      ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Snackbar                           
SnackbarContentLayout                         ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Snackbar                           
ExtendableSavedState                          ,Android.Support.Design.Stateful                           ,Xamarin.Google.Android.Material.Stateful                           
TabItem                                       ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Tabs                               
TabLayout                                     ,Android.Support.Design.Widget                             ,Xamarin.Google.Android.Material.Tabs                               
