# Class,ClassFullyQualified Removed, ClassFullyQualified New
CustomTabsCallbackStub,AndroidX.Browser.CustomTabs.CustomTabsCallbackStub,Android.Support.CustomTabs.CustomTabsCallbackStub
CustomTabsServiceStub,AndroidX.Browser.CustomTabs.CustomTabsServiceStub,Android.Support.CustomTabs.CustomTabsServiceStub
ICustomTabsCallback,AndroidX.Browser.CustomTabs.ICustomTabsCallback,Android.Support.CustomTabs.ICustomTabsCallback
ICustomTabsService,AndroidX.Browser.CustomTabs.ICustomTabsService,Android.Support.CustomTabs.ICustomTabsService
IPostMessageService,AndroidX.Browser.CustomTabs.IPostMessageService,Android.Support.CustomTabs.IPostMessageService
PostMessageServiceStub,AndroidX.Browser.CustomTabs.PostMessageServiceStub,Android.Support.CustomTabs.PostMessageServiceStub
BottomNavigationItemView,Google.Android.Material.Internal.BottomNavigationItemView,Google.Android.Material.BottomNavigation.BottomNavigationItemView
BottomNavigationMenu,Google.Android.Material.Internal.BottomNavigationMenu,Google.Android.Material.BottomNavigation.BottomNavigationMenu
BottomNavigationMenuView,Google.Android.Material.Internal.BottomNavigationMenuView,Google.Android.Material.BottomNavigation.BottomNavigationMenuView
BottomNavigationPresenter,Google.Android.Material.Internal.BottomNavigationPresenter,Google.Android.Material.BottomNavigation.BottomNavigationPresenter
BaseTransientBottomBar,Google.Android.Material.AppBar.BaseTransientBottomBar,Google.Android.Material.Snackbar.BaseTransientBottomBar
BottomNavigationView,Google.Android.Material.AppBar.BottomNavigationView,Google.Android.Material.BottomNavigation.BottomNavigationView
BottomSheetBehavior,Google.Android.Material.AppBar.BottomSheetBehavior,Google.Android.Material.BottomSheet.BottomSheetBehavior
BottomSheetDialog,Google.Android.Material.AppBar.BottomSheetDialog,Google.Android.Material.BottomSheet.BottomSheetDialog
BottomSheetDialogFragment,Google.Android.Material.AppBar.BottomSheetDialogFragment,Google.Android.Material.BottomSheet.BottomSheetDialogFragment
CheckableImageButton,Google.Android.Material.AppBar.CheckableImageButton,Google.Android.Material.Internal.CheckableImageButton
CircularBorderDrawable,Google.Android.Material.AppBar.CircularBorderDrawable,Google.Android.Material.Internal.CircularBorderDrawable
CollapsingTextHelper,Google.Android.Material.AppBar.CollapsingTextHelper,Google.Android.Material.Internal.CollapsingTextHelper
CoordinatorLayout,Google.Android.Material.AppBar.CoordinatorLayout,AndroidX.CoordinatorLayout.Widget.CoordinatorLayout
DescendantOffsetUtils,Google.Android.Material.AppBar.DescendantOffsetUtils,Google.Android.Material.Internal.DescendantOffsetUtils
DrawableUtils,Google.Android.Material.AppBar.DrawableUtils,Google.Android.Material.Internal.DrawableUtils
FloatingActionButton,Google.Android.Material.AppBar.FloatingActionButton,Google.Android.Material.FloatingActionButton.FloatingActionButton
IShadowViewDelegate,Google.Android.Material.AppBar.IShadowViewDelegate,Google.Android.Material.Shadow.IShadowViewDelegate
MathUtils,Google.Android.Material.AppBar.MathUtils,Google.Android.Material.Math.MathUtils
NavigationView,Google.Android.Material.AppBar.NavigationView,Google.Android.Material.Navigation.NavigationView
ShadowDrawableWrapper,Google.Android.Material.AppBar.ShadowDrawableWrapper,Google.Android.Material.Shadow.ShadowDrawableWrapper
Snackbar,Google.Android.Material.AppBar.Snackbar,Google.Android.Material.Snackbar.Snackbar
SnackbarContentLayout,Google.Android.Material.AppBar.SnackbarContentLayout,Google.Android.Material.Snackbar.SnackbarContentLayout
StateListAnimator,Google.Android.Material.AppBar.StateListAnimator,Google.Android.Material.Internal.StateListAnimator
SwipeDismissBehavior,Google.Android.Material.AppBar.SwipeDismissBehavior,Google.Android.Material.Behavior.SwipeDismissBehavior
TabItem,Google.Android.Material.AppBar.TabItem,Google.Android.Material.Tabs.TabItem
TabLayout,Google.Android.Material.AppBar.TabLayout,Google.Android.Material.Tabs.TabLayout
TextInputEditText,Google.Android.Material.AppBar.TextInputEditText,Google.Android.Material.TextField.TextInputEditText
TextInputLayout,Google.Android.Material.AppBar.TextInputLayout,Google.Android.Material.TextField.TextInputLayout
VisibilityAwareImageButton,Google.Android.Material.AppBar.VisibilityAwareImageButton,Google.Android.Material.Internal.VisibilityAwareImageButton
ContentResolverCompat,AndroidX.Loader.Content.ContentResolverCompat,AndroidX.Core.Content.ContentResolverCompat
ContextCompat,AndroidX.Loader.Content.ContextCompat,AndroidX.Core.Content.ContextCompat
FileProvider,AndroidX.Loader.Content.FileProvider,AndroidX.Core.Content.FileProvider
IntentCompat,AndroidX.Loader.Content.IntentCompat,AndroidX.Core.Content.IntentCompat
LocalBroadcastManager,AndroidX.Loader.Content.LocalBroadcastManager,AndroidX.LocalBroadcastManager.Content.LocalBroadcastManager
MimeTypeFilter,AndroidX.Loader.Content.MimeTypeFilter,AndroidX.Core.Content.MimeTypeFilter
PermissionChecker,AndroidX.Loader.Content.PermissionChecker,AndroidX.Core.Content.PermissionChecker
MediaBrowserCompat,AndroidX.Media.MediaBrowserCompat,Android.Support.V4.Media.MediaBrowserCompat
MediaDescriptionCompat,AndroidX.Media.MediaDescriptionCompat,Android.Support.V4.Media.MediaDescriptionCompat
MediaMetadataCompat,AndroidX.Media.MediaMetadataCompat,Android.Support.V4.Media.MediaMetadataCompat
RatingCompat,AndroidX.Media.RatingCompat,Android.Support.V4.Media.RatingCompat
IMediaControllerCallback,AndroidX.Media.Session.IMediaControllerCallback,Android.Support.V4.Media.Session.IMediaControllerCallback
IMediaControllerCallbackExtensions,AndroidX.Media.Session.IMediaControllerCallbackExtensions,Android.Support.V4.Media.Session.IMediaControllerCallbackExtensions
IMediaSession,AndroidX.Media.Session.IMediaSession,Android.Support.V4.Media.Session.IMediaSession
MediaControllerCallbackStub,AndroidX.Media.Session.MediaControllerCallbackStub,Android.Support.V4.Media.Session.MediaControllerCallbackStub
MediaControllerCompat,AndroidX.Media.Session.MediaControllerCompat,Android.Support.V4.Media.Session.MediaControllerCompat
MediaSessionCompat,AndroidX.Media.Session.MediaSessionCompat,Android.Support.V4.Media.Session.MediaSessionCompat
MediaSessionCompatIMediaSessionImplExtensions,AndroidX.Media.Session.MediaSessionCompatIMediaSessionImplExtensions,Android.Support.V4.Media.Session.MediaSessionCompatIMediaSessionImplExtensions
MediaSessionStub,AndroidX.Media.Session.MediaSessionStub,Android.Support.V4.Media.Session.MediaSessionStub
ParcelableVolumeInfo,AndroidX.Media.Session.ParcelableVolumeInfo,Android.Support.V4.Media.Session.ParcelableVolumeInfo
PlaybackStateCompat,AndroidX.Media.Session.PlaybackStateCompat,Android.Support.V4.Media.Session.PlaybackStateCompat
IResultReceiver,AndroidX.Core.OS.IResultReceiver,Android.Support.V4.OS.IResultReceiver
ResultReceiver,AndroidX.Core.OS.ResultReceiver,Android.Support.V4.OS.ResultReceiver
ResultReceiverStub,AndroidX.Core.OS.ResultReceiverStub,Android.Support.V4.OS.ResultReceiverStub
FontRequest,AndroidX.DocumentFile.Provider.FontRequest,AndroidX.Core.Provider.FontRequest
FontsContractCompat,AndroidX.DocumentFile.Provider.FontsContractCompat,AndroidX.Core.Provider.FontsContractCompat
SelfDestructiveThread,AndroidX.DocumentFile.Provider.SelfDestructiveThread,AndroidX.Core.Provider.SelfDestructiveThread
AtomicFile,AndroidX.Collection.AtomicFile,AndroidX.Core.Util.AtomicFile
DebugUtils,AndroidX.Collection.DebugUtils,AndroidX.Core.Util.DebugUtils
IConsumer,AndroidX.Collection.IConsumer,AndroidX.Core.Util.IConsumer
LogWriter,AndroidX.Collection.LogWriter,AndroidX.Core.Util.LogWriter
ObjectsCompat,AndroidX.Collection.ObjectsCompat,AndroidX.Core.Util.ObjectsCompat
Pair,AndroidX.Collection.Pair,AndroidX.Core.Util.Pair
PatternsCompat,AndroidX.Collection.PatternsCompat,AndroidX.Core.Util.PatternsCompat
Pools,AndroidX.Collection.Pools,AndroidX.Core.Util.Pools
Preconditions,AndroidX.Collection.Preconditions,AndroidX.Core.Util.Preconditions
