KeyedFactory,AndroidX.Lifecycle.ViewModelProvider.KeyedFactory
ILifecycleEventObserver,AndroidX.Lifecycle.ILifecycleEventObserver
ValidationResult,AndroidX.Room.RoomOpenHelper.ValidationResult
DatabaseViewAttribute,AndroidX.Room.DatabaseViewAttribute
Fts3Attribute,AndroidX.Room.Fts3Attribute
Fts4Attribute,AndroidX.Room.Fts4Attribute
FtsOptions,AndroidX.Room.FtsOptions
IDatabaseView,AndroidX.Room.IDatabaseView
IFts3,AndroidX.Room.IFts3
IFts4,AndroidX.Room.IFts4
IJunction,AndroidX.Room.IJunction
IMultiInstanceInvalidationCallback,AndroidX.Room.IMultiInstanceInvalidationCallback
IMultiInstanceInvalidationService,AndroidX.Room.IMultiInstanceInvalidationService
JunctionAttribute,AndroidX.Room.JunctionAttribute
MultiInstanceInvalidationCallbackStub,AndroidX.Room.MultiInstanceInvalidationCallbackStub
MultiInstanceInvalidationService,AndroidX.Room.MultiInstanceInvalidationService
MultiInstanceInvalidationServiceStub,AndroidX.Room.MultiInstanceInvalidationServiceStub
CopyLock,AndroidX.Room.Util.CopyLock
CursorUtil,AndroidX.Room.Util.CursorUtil
DBUtil,AndroidX.Room.Util.DBUtil
FileUtil,AndroidX.Room.Util.FileUtil
FtsTableInfo,AndroidX.Room.Util.FtsTableInfo
SneakyThrow,AndroidX.Room.Util.SneakyThrow
ViewInfo,AndroidX.Room.Util.ViewInfo
IForce,AndroidX.DynamicAnimation.IForce
ContentViewAttribute,AndroidX.Annotations.ContentViewAttribute
IContentView,AndroidX.Annotations.IContentView
IInspectableProperty,AndroidX.Annotations.IInspectableProperty
IInspectablePropertyEnumEntry,AndroidX.Annotations.IInspectablePropertyEnumEntry
IInspectablePropertyFlagEntry,AndroidX.Annotations.IInspectablePropertyFlagEntry
InspectablePropertyAttribute,AndroidX.Annotations.InspectablePropertyAttribute
InspectablePropertyValueType,AndroidX.Annotations.InspectablePropertyValueType
CircularRevealWidgetCircularRevealProperty,Google.Android.Material.CircularReveal.CircularRevealWidgetCircularRevealProperty
CircularRevealWidgetCircularRevealScrimColorProperty,Google.Android.Material.CircularReveal.CircularRevealWidgetCircularRevealScrimColorProperty
NavigationMenuPresenter,Google.Android.Material.Internal.NavigationMenuPresenter
ActionBarDrawerToggle,AndroidX.Legacy.App.ActionBarDrawerToggle
ILayoutInflaterFactory,AndroidX.Core.View.ILayoutInflaterFactory
INestedScrollingChild3,AndroidX.Core.View.INestedScrollingChild3
INestedScrollingParent3,AndroidX.Core.View.INestedScrollingParent3
OneShotPreDrawListener,AndroidX.Core.View.OneShotPreDrawListener
VelocityTrackerCompat,AndroidX.Core.View.VelocityTrackerCompat
ResultWrapper,AndroidX.Media.MediaBrowserServiceCompat.ResultWrapper
AudioAttributesImplBase,AndroidX.Media.AudioAttributesImplBase
AudioFocusRequestCompat,AndroidX.Media.AudioFocusRequestCompat
AudioManagerCompat,AndroidX.Media.AudioManagerCompat
IAudioAttributesImpl,AndroidX.Media.IAudioAttributesImpl
IAudioAttributesImplBuilder,AndroidX.Media.IAudioAttributesImplBuilder
MessageCompat,AndroidX.Core.OS.MessageCompat
ITintableCompoundDrawablesView,AndroidX.Core.Widget.ITintableCompoundDrawablesView
DynamicGroupRouteController,AndroidX.MediaRouter.Media.MediaRouteProvider.DynamicGroupRouteController
MenuWrapperICS,AndroidX.AppCompat.View.Menu.MenuWrapperICS
AppCompatSpinnerISpinnerPopupExtensions,AndroidX.AppCompat.Widget.AppCompatSpinnerISpinnerPopupExtensions
AppCompatToggleButton,AndroidX.AppCompat.Widget.AppCompatToggleButton
ResourceManagerInternal,AndroidX.AppCompat.Widget.ResourceManagerInternal
TintInfo,AndroidX.AppCompat.Widget.TintInfo
