<Module>,,managed type,managed type
<c86f9c44-07bc-4ac5-a8eb-6e6a94615499>__TypeRegistrations,Java.Interop,managed type,managed type
IFunction,Android.Arch.Core.Util,managed type,managed type
IFunctionInvoker,Android.Arch.Core.Util,managed type,managed type
FastSafeIterableMap,Android.Arch.Core.Internal,managed type,managed type
SafeIterableMap,Android.Arch.Core.Internal,managed type,managed type
SafeIterableMap.Entry,Android.Arch.Core.Internal,managed type,managed type
SafeIterableMap.ISupportRemove,Android.Arch.Core.Internal,managed type,managed type
SafeIterableMap.ISupportRemoveInvoker,Android.Arch.Core.Internal,managed type,managed type
<0cdb82b9-3f39-4149-bb51-dfe256b61503>__TypeRegistrations,Java.Interop,managed type,managed type
AnimResAttribute,Android.Support.Annotation,managed type,managed type
AnimatorResAttribute,Android.Support.Annotation,managed type,managed type
AnyResAttribute,Android.Support.Annotation,managed type,managed type
AnyThreadAttribute,Android.Support.Annotation,managed type,managed type
ArrayResAttribute,Android.Support.Annotation,managed type,managed type
AttrResAttribute,Android.Support.Annotation,managed type,managed type
BinderThreadAttribute,Android.Support.Annotation,managed type,managed type
BoolResAttribute,Android.Support.Annotation,managed type,managed type
CallSuperAttribute,Android.Support.Annotation,managed type,managed type
CheckResultAttribute,Android.Support.Annotation,managed type,managed type
ColorIntAttribute,Android.Support.Annotation,managed type,managed type
ColorLongAttribute,Android.Support.Annotation,managed type,managed type
ColorResAttribute,Android.Support.Annotation,managed type,managed type
DimenResAttribute,Android.Support.Annotation,managed type,managed type
DimensionAttribute,Android.Support.Annotation,managed type,managed type
DrawableResAttribute,Android.Support.Annotation,managed type,managed type
FloatRangeAttribute,Android.Support.Annotation,managed type,managed type
FontResAttribute,Android.Support.Annotation,managed type,managed type
FractionResAttribute,Android.Support.Annotation,managed type,managed type
GuardedByAttribute,Android.Support.Annotation,managed type,managed type
HalfFloatAttribute,Android.Support.Annotation,managed type,managed type
IAnimRes,Android.Support.Annotation,managed type,managed type
IAnimResInvoker,Android.Support.Annotation,managed type,managed type
