AnimResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
AnimatorResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
AnyResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
AnyThreadAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
ArrayResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
AttrResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
BinderThreadAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
BoolResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
CallSuperAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
CheckResultAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
ColorIntAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
ColorLongAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
ColorResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
DimenResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
DimensionAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
DrawableResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
FloatRangeAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
FontResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
FractionResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
GuardedByAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
HalfFloatAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
DimensionConsts,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
VisibleForTestingConsts,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
IdResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
IntDefAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
IntRangeAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
IntegerResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
InterpolatorResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
KeepAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
LayoutResAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
LongDefAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
MainThreadAttribute,AndroidX.Annotations,managed, not Android registered,managed, not Android registered
