<Module>,,managed type,managed type
<4c3e1a75-8e6e-41bc-bc91-a26303760793>__TypeRegistrations,Java.Interop,managed type,managed type
AnimResAttribute,AndroidX.Annotations,managed type,managed type
AnimatorResAttribute,AndroidX.Annotations,managed type,managed type
AnyResAttribute,AndroidX.Annotations,managed type,managed type
AnyThreadAttribute,AndroidX.Annotations,managed type,managed type
ArrayResAttribute,AndroidX.Annotations,managed type,managed type
AttrResAttribute,AndroidX.Annotations,managed type,managed type
BinderThreadAttribute,AndroidX.Annotations,managed type,managed type
BoolResAttribute,AndroidX.Annotations,managed type,managed type
CallSuperAttribute,AndroidX.Annotations,managed type,managed type
CheckResultAttribute,AndroidX.Annotations,managed type,managed type
ColorIntAttribute,AndroidX.Annotations,managed type,managed type
ColorLongAttribute,AndroidX.Annotations,managed type,managed type
ColorResAttribute,AndroidX.Annotations,managed type,managed type
DimenResAttribute,AndroidX.Annotations,managed type,managed type
DimensionAttribute,AndroidX.Annotations,managed type,managed type
DrawableResAttribute,AndroidX.Annotations,managed type,managed type
FloatRangeAttribute,AndroidX.Annotations,managed type,managed type
FontResAttribute,AndroidX.Annotations,managed type,managed type
FractionResAttribute,AndroidX.Annotations,managed type,managed type
GuardedByAttribute,AndroidX.Annotations,managed type,managed type
HalfFloatAttribute,AndroidX.Annotations,managed type,managed type
IAnimRes,AndroidX.Annotations,managed type,managed type
IAnimResInvoker,AndroidX.Annotations,managed type,managed type
IAnimatorRes,AndroidX.Annotations,managed type,managed type
IAnimatorResInvoker,AndroidX.Annotations,managed type,managed type
IAnyRes,AndroidX.Annotations,managed type,managed type
IAnyResInvoker,AndroidX.Annotations,managed type,managed type
IAnyThread,AndroidX.Annotations,managed type,managed type
IAnyThreadInvoker,AndroidX.Annotations,managed type,managed type
IArrayRes,AndroidX.Annotations,managed type,managed type
IArrayResInvoker,AndroidX.Annotations,managed type,managed type
IAttrRes,AndroidX.Annotations,managed type,managed type
IAttrResInvoker,AndroidX.Annotations,managed type,managed type
