HolderFragment                            ,android.arch.lifecycle.HolderFragment                                                     ,androidx.lifecycle.HolderFragment                                                              ,  ,  ,android.arch.lifecycle                                    ,androidx.lifecycle,  ,
DynamicAnimation                          ,android.support.animation.DynamicAnimation                                                ,androidx.dynamicanimation.animation.DynamicAnimation                                           ,  ,  ,android.support.animation                                 ,androidx.dynamicanimation.animation,  ,
FlingAnimation                            ,android.support.animation.FlingAnimation                                                  ,androidx.dynamicanimation.animation.FlingAnimation                                             ,  ,  ,android.support.animation                                 ,androidx.dynamicanimation.animation,  ,
FloatPropertyCompat                       ,android.support.animation.FloatPropertyCompat                                             ,androidx.dynamicanimation.animation.FloatPropertyCompat                                        ,  ,  ,android.support.animation                                 ,androidx.dynamicanimation.animation,  ,
FloatValueHolder                          ,android.support.animation.FloatValueHolder                                                ,androidx.dynamicanimation.animation.FloatValueHolder                                           ,  ,  ,android.support.animation                                 ,androidx.dynamicanimation.animation,  ,
SpringAnimation                           ,android.support.animation.SpringAnimation                                                 ,androidx.dynamicanimation.animation.SpringAnimation                                            ,  ,  ,android.support.animation                                 ,androidx.dynamicanimation.animation,  ,
SpringForce                               ,android.support.animation.SpringForce                                                     ,androidx.dynamicanimation.animation.SpringForce                                                ,  ,  ,android.support.animation                                 ,androidx.dynamicanimation.animation,  ,
Dimension                                 ,android.support.annotation.Dimension                                                      ,androidx.annotation.Dimension                                                                  ,  ,  ,android.support.annotation                                ,androidx.annotation,  ,
VisibleForTesting                         ,android.support.annotation.VisibleForTesting                                              ,androidx.annotation.VisibleForTesting                                                          ,  ,  ,android.support.annotation                                ,androidx.annotation,  ,
AnimationUtils                            ,android.support.design.animation.AnimationUtils                                           ,com.google.android.material.animation.AnimationUtils                                           ,  ,  ,android.support.design.animation                          ,com.google.android.material.animation,  ,
AnimatorSetCompat                         ,android.support.design.animation.AnimatorSetCompat                                        ,com.google.android.material.animation.AnimatorSetCompat                                        ,  ,  ,android.support.design.animation                          ,com.google.android.material.animation,  ,
ArgbEvaluatorCompat                       ,android.support.design.animation.ArgbEvaluatorCompat                                      ,com.google.android.material.animation.ArgbEvaluatorCompat                                      ,  ,  ,android.support.design.animation                          ,com.google.android.material.animation,  ,
